GCA_000003135.1	548480
GCA_000003925.1	526997
GCA_000005825.2	398511
GCA_000005845.2	511145
GCA_000006605.1	306537
GCA_000006645.1	187410
GCA_000006665.1	155864
GCA_000006725.1	160492
GCA_000006745.1	243277
GCA_000006765.1	208964
GCA_000006785.2	160490
GCA_000006825.1	272843
GCA_000006845.1	242231
GCA_000006865.1	272623
GCA_000006885.1	170187
GCA_000006905.1	190650
GCA_000006925.2	198214
GCA_000006945.1	99287
GCA_000006965.1	266834
GCA_000007025.1	272944
GCA_000007045.1	171101
GCA_000007085.1	273068
GCA_000007105.1	264203
GCA_000007165.1	190486
GCA_000007245.1	183190
GCA_000007265.1	208435
GCA_000007285.1	186103
GCA_000007425.1	198466
GCA_000007465.2	210007
GCA_000007505.1	204722
GCA_000007545.1	209261
GCA_000007565.1	160488
GCA_000007585.1	242619
GCA_000007625.1	212717
GCA_000007645.1	176280
GCA_000007685.1	267671
GCA_000007745.1	221988
GCA_000007765.1	227377
GCA_000007785.1	226185
GCA_000007805.1	223283
GCA_000007865.1	262316
GCA_000007945.1	233412
GCA_000008065.1	257314
GCA_000008105.1	321314
GCA_000008125.1	262724
GCA_000008285.1	265669
GCA_000008325.1	243233
GCA_000008345.1	267747
GCA_000008425.1	279010
GCA_000008505.1	281309
GCA_000008585.1	83331
GCA_000008725.1	272561
GCA_000008745.1	115713
GCA_000008785.1	85963
GCA_000008805.1	122586
GCA_000008925.1	362948
GCA_000008985.1	177416
GCA_000009005.1	273036
GCA_000009025.1	255470
GCA_000009085.1	192222
GCA_000009105.1	122587
GCA_000009125.1	267608
GCA_000009145.1	228410
GCA_000009165.1	316273
GCA_000009205.1	272563
GCA_000009265.1	216596
GCA_000009285.2	381666
GCA_000009305.1	382638
GCA_000009345.1	393305
GCA_000009405.1	396513
GCA_000009425.1	416870
GCA_000009465.1	272831
GCA_000009485.1	216591
GCA_000009505.1	550537
GCA_000009545.1	218495
GCA_000009565.2	469008
GCA_000009585.1	523796
GCA_000009645.1	158879
GCA_000009685.1	195102
GCA_000009745.1	196600
GCA_000009765.1	227882
GCA_000009785.1	235909
GCA_000009805.1	247156
GCA_000009825.1	66692
GCA_000009865.1	279808
GCA_000009925.1	295405
GCA_000010005.1	557433
GCA_000010045.1	138119
GCA_000010105.1	234621
GCA_000010145.1	334390
GCA_000010225.1	340322
GCA_000010265.1	583346
GCA_000010465.1	426430
GCA_000010485.1	431946
GCA_000010545.1	395019
GCA_000010605.1	455632
GCA_000010705.1	486410
GCA_000010825.1	634452
GCA_000011025.1	680646
GCA_000011045.1	568703
GCA_000011145.1	272558
GCA_000011265.1	196620
GCA_000011445.1	272632
GCA_000011505.1	282458
GCA_000011525.1	282459
GCA_000011545.1	272560
GCA_000011565.1	264201
GCA_000011605.1	218491
GCA_000011625.1	288681
GCA_000011685.1	290633
GCA_000011725.1	290847
GCA_000011805.1	312309
GCA_000011825.1	264199
GCA_000011885.1	295319
GCA_000011945.1	234826
GCA_000011985.1	272621
GCA_000012105.1	314565
GCA_000012165.1	319701
GCA_000012185.1	281310
GCA_000012205.1	264730
GCA_000012245.1	205918
GCA_000012265.1	220664
GCA_000012405.1	269800
GCA_000012445.1	205922
GCA_000012665.1	207559
GCA_000012685.1	246197
GCA_000013125.1	212042
GCA_000013245.1	357544
GCA_000013265.1	364106
GCA_000013485.1	370551
GCA_000013745.1	316056
GCA_000013785.1	379731
GCA_000013845.1	289380
GCA_000013925.1	362242
GCA_000013945.1	355276
GCA_000014025.1	367737
GCA_000014105.1	374833
GCA_000014205.1	388919
GCA_000014285.1	391165
GCA_000014385.1	203123
GCA_000014465.1	387344
GCA_000014505.1	278197
GCA_000014525.1	321967
GCA_000014545.1	272622
GCA_000014625.1	208963
GCA_000014645.1	401614
GCA_000014705.1	318167
GCA_000014765.1	335283
GCA_000014985.1	243243
GCA_000015005.1	246196
GCA_000015085.1	360106
GCA_000015185.1	351745
GCA_000015305.1	350058
GCA_000015325.1	397945
GCA_000015365.1	351348
GCA_000015385.1	405566
GCA_000015465.1	320388
GCA_000015485.1	391774
GCA_000015525.1	354242
GCA_000015745.1	420246
